codigo_produto,descricao_produto,qtd_ocorrencias
008549,ADAPTADOR CURTO 25MM SOLDAVEL 1/2 ROSCA,1
004222,ADAPTADOR ETHERNE,2
009151,ADAPTADOR FILTRO MACHO PVC 1/2X1/4,2
010546,ADAPTADOR FLANGE 25MM 3/4&apos;&apos; MARROM PARA CAIXA D&apos;ÁGUA,1
004572,ADAPTADOR FLANGE SOLDAVEL,1
011210,adaptador fonte,1
010179,ADAPTADOR JR COM ANEL 100MM,3
006712,ADAPTADOR MARROM 25MM 3/4,8
006596,ADAPTADOR P/TOMADA BOBESPONJA 10A/20A BR,3
011014,ADAPTADOR PARA CONDULETE ELETRODUTO PVC PRETO 3/4,3
009032,ADAPTADOR SIFÃO 1.1/2 JE C/ ANEL,2
008597,ADAPTADOR SOLDÁVEL CURTO 25MM MARROM,2
008554,ADAPTADOR SOLDAVEL CURTO 32MM X 1,4
008569,Adaptador Soldável Curto 40mm X 1.1/4 Rosca,1
007457,ADAPTADOR SOLDÁVEL CURTO PVC 75MM X 2.1/2&quot;,1
008749,ADAPTADOR STORZ 2.½ X 1.½,2
012250,ADAPTADOR TIRA MAU CHEIRO RALOS E PORTA GRELHAS 10CM ASTRA,2
008466,Adaptador Torneiras Para Máquina De Lavar Roupas E Louça 3/4,1
007444,ADAPTADOR VALVULA CONEXÃO FILTRO PURIFICADOR AGUA,14
011621,Adequação de instalação CONTROLID,1
012387,ADESIVO,1
001132,ADESIVO ALCOOL 70%,1
012380,adesivo amadeirado,2
012010,Adesivo cinza,1
009826,"ADESIVO CONTATO EXTRA FORTE SEM TOLUOL 2,8KG / 3,6 LT",2
001460,ADESIVO DE PISO,1
011954,adesivo de sala,9
008195,ADESIVO DE VINIL,3
008418,ADESIVO EPOXI,2
005079,ADESIVO ESTRUT COMPOUND 1KG,4
005340,ADESIVO FIX 290 ML,4
003166,ADESIVO FIXACAO,5
004372,ADESIVO FIXACAO,1
009633,ADESIVO IMPRESSO,2
009636,ADESIVO IMPRESSO,3
012097,ADESIVO LACRE HIDRANTE ADESIVO ABRIGO DE MANGUEIRA VERMELHO DATADO,1
011561,ADESIVO LOUSA,2
011514,ADESIVO MADEIRA,12
011687,ADESIVO MADEIRA,6
008752,ADESIVO PALHETA DE MADEIRA,2
011592,ADESIVO PAREDE EMPRESA ATITUDE ESCRITÓRIO COORPORATIVO CORES,1
001352,ADESIVO PLÁSTICO BRANCO,1
007459,ADESIVO PLASTICO CPVC AQ FRASCO COM PINCEL 175G,3
001129,ADESIVO PLASTICO P/ PVC 175G,5
008072,ADESIVO PRETO FOSCO,5
008076,ADESIVO PRETO FOSCO,1
008751,ADESIVO SACHE DE AÇUCAR,2
008753,ADESIVO SACHE DE ADOÇANTE,2
001780,ADESIVO TEK BOND 793 100G,9
012009,Adesivo telado,1
011824,adesivo telado instalado,1
003848,ADESIVO VEDA CALHA,2
011710,adesivos,2
012472,ADESIVOS CAFÉ,1
012101,Adesivos de chá e café,1
011683,adesivos de sala,16
011684,Adesivos Lockers,9
009989,"ADITIVO PLASTIFICANTE VIACAL BB 3,6 l - VIAPOL",1
001273,ADOÇANTE SACARINA LIQUIDO,4
010048,ADUBO FERTILIZANTE 10KG,1
001152,AFOS SP-0013/BA GUIA SUPERIOR P/PORTA,39
003475,AGUA LINDOYA VERÃO (REFIL) 20LITROS,28
001074,AGUA RAZ,3
005564,AGUA RAZ EUCATEX 900ML,11
003866,AGUARRAS 5L,3
008192,AIRCLOUD GATEWAY,2
001365,AL KIT10 PTO PORTA L.BLINDEX V/A,1
001713,AL10 CAVALAO PESADO PT - PERFIL U 25X15 ENG 10MM,7
000102,AL3530 - FECHADURA P/ PORTA DE CORRER,1
001762,AL63 PT - CADEIRINHA ENG 8MM,15
011730,ALÇAPÃO 30x30CM AÇO COM TAMPA PARA FORRO DRYWALL BRANCO,3
004339,ALÇAPAO PARA DRYWALL,12
012297,ALÇAPÃO PARA DRYWALL 50X50 COM TAMPA DE AÇO,3
003752,ALCAPAO PARA FORRO,2
009105,ALCOOL 46° 1L,1
006996,ALCOOL 70. 1L PRO VENUS,3
001744,ALCOOL EM GEL 5L,9
