codigo_produto,descricao_produto,qtd_ocorrencias
008920,DISCO LISO PORCELANATO / VIDRO 1.4,1
007178,DISCO LIXA PARA MADEIRA 410MM,2
008731,DISCO LIXA VELCRO,4
006379,DISCO LIXA VELCRO 120,3
009147,DISCO MADEIRA 4 24D VIDEA,1
012369,Disco P/ Serra Circular Eco 184mm 60 Dentes Bosch,1
001752,DISCO SERRA CIRCULAR P/ ALUMINIO 10 254MM 100 DENTES,2
003337,DISCO TIPO FLAP 4.1/2,1
008830,DISCO TURBO P/ PORCELANATO CORTAG,3
003721,DISJUNTOR,12
010061,DISJUNTOR 100 AMPERES,2
005557,DISJUNTOR 1P  20A C 3KA 230V IEC-60898 SD-D61C20          STECK,9
000085,DISJUNTOR 2P  20A C 3KA 230V IEC-60898 SD-D62C20          STECK,9
005031,DISJUNTOR 2P 20A C 3KA 230V IEC-60898 SD-D62C20,3
009792,DISJUNTOR 3P 100A C 10KA 230V IEC-60898 SD-D3C100,1
005030,DISJUNTOR 3P 32A C 5KA 230V EASY9 EZ9F33332 - SCHNEIDER,1
003634,DISJUNTOR 3P 63A SDD61 5KA-127/220V CURVA,2
003556,DISJUNTOR BIP DIN CURVA C 25A STECK,1
007850,DISJUNTOR BIPOLAR 20A CURVA C 3KA WEG,1
004677,"DISJUNTOR BIPOLAR DUPLO 10A, 16A, 20A, 25A, 32A, 40A, 50A, 63A",1
004275,DISJUNTOR CAIXA MOLDADA,6
012372,DISJUNTOR CAIXA MOLDADA TRIPOLAR 63A 50/60HZ STECK,1
003620,DISJUNTOR CURVA C 10KA,8
007841,DISJUNTOR CURVA C TRIPOLAR 70A STECK,1
007165,DISJUNTOR DIN BIPOLAR 20A C 3KA,2
007166,DISJUNTOR DIN BIPOLAR 32A C 3KA,2
011673,Disjuntor Display Lcd Smart Home Inteligente Wi-fi Automação,1
010062,DISJUNTOR DR 100 AMPERES,1
003630,DISJUNTOR STECK BIPOLAR 32A CURVA C,2
010106,Disjuntor Tripolar 3p Din Sd Curva C Steck,1
008700,DISJUNTOR TRIPOLAR CAIXA MOLDADA FIXO 125A ASGARD - STECK,1
008699,DISJUNTOR TRIPOLAR CAIXA MOLDADA FIXO 50A ASGARD - STECK,2
007836,DISJUNTOR UNIPOLAR 20A SCHNEIDER C 3KA,1
012176,DISJUNTOR UNIPOLAR DIN STECK B  10A,1
012177,DISJUNTOR UNIPOLAR DIN STECK B  20A,1
003854,DISPENSER,3
002110,DISPENSER COPO DESCARTÁVEL,5
003277,DISPENSER COPO DESCARTÁVEL,25
006606,DISPENSER P/COPO AGUA MULT PRETO NOBRE,6
012234,DISPENSER P/COPO AGUA MULTICOPO PRETO NOBRE,2
003294,DISPENSER PAPELEIRA/PORTA PAPEL TOALHA MESA BRANCO,15
003289,DISPENSER PARA DETERGENTE E BUCHA,4
009346,DISPENSER TOALHEIRO INTERFOLHA BALCÃO COR PRETO,13
000956,DISPLAY A4,19
001282,DISPLAY A4,9
000957,DISPLAY A5,14
001283,DISPLAY A5,3
006613,DISPLAY EXPOSITOR EM L A5 CR NOVACRIL,1
006616,DISPLAY EXPOSITOR EM L A5 CR NOVACRIL,1
012155,DISPLAY PLAST ADESIVO A4 REF 0534 TRANSP DELLO,1
010256,DISPLAY PORTA FOLHA PAREDE A4 ACRILICO PS HORIZONTAL,1
006766,DISPLAY QUADRO MULTIUSO A4 865 ACRIMET,1
006768,DISPLAY QUADRO MULTIUSO A4 865 ACRIMET,1
006789,DIVISÓRIA ARTICULADA ACÚSTICA RETRÁTIL,1
006750,DIVISÓRIA PISO TETO VIDRO DUPLO JUNTA SECA 8MM TEMPERADO ESTRUTURA 80MM,1
003446,DIVISÓRIAS SANITÁRIAS,1
004397,DOBRADIÇA,8
001569,DOBRADIÇA 4 POL PARA PORTA CORTA FOGO COM MOLA REGULÁVEL,4
007427,DOBRADIÇA BRANCA GV48 90 VIDRO/ALVENARIA 1012,2
009999,DOBRADIÇA COM MOLA 4X3&apos;&apos; INOX ESCOVADO HAFELEDOBRADIÇA COM MOLA 4X3&apos;&apos; INOX ESCOVADO HAFELE,1
012122,DOBRADIÇA COM ROLAMENTO EM AÇO INOXIDAVEL POLIDO 3.5X3X2.5MM,1
011602,DOBRADIÇA EM ALUMINIO - ESTRUTURA TS - CINZA,2
005124,DOBRADIÇA INVISIVEL PARA 70X16MM ZMK CRE,1
007421,DOBRADIÇA LATERAL SIMPLES 1115,1
006131,DOBRADIÇA P/ PORTA CORTA FOGO MOLA 4 POLEGADAS,1
001628,DOBRADIÇA PIVOLTANTE INFERIOR PARA MOLA - PT,1
001040,DOBRADIÇAS  DOBLV5300 3. 1/2ACEPTP 3 UNID,1
010686,Dowsil 784 - Selante Silicone Áreas Úmidas Antifungo 300ml,1
009119,DPS SOLAR 1040V 40KA CLAMPER PROTETOR SURTO RAIO TRIPOLAR,1
007170,DRASTIC LIMPADOR TIRA MANCHAS,10
008692,DRENO ELIMINADOR DE ODORES PARA RALOS DE BANHEIRO CASA,1
004888,DRIVER LED REATOR,5
011632,DRIVER REATOR PARA PAINEL PLAFON LED 8W a 24W BIVOLT FONTE,1
004669,DUCHA HIGIENICA PARA BACIA SANITÁRIA,1
003817,DUNE TEGULAR 16X625X625MM BRANCO,4
011085,DUTO,1
008673,DUTO CORRUGADO 4&quot; DN 110 PRETO TECNOPRADO 50 METROS,2
012117,DUTO FLEXIVEL C/ ISOLAMENTO 10&apos;&apos; (PACT 6MT),1
011789,DUTO FLEXIVEL C/ ISOLAMENTO 4&quot; (PACT 6MT),2
012304,DUTO FLEXIVEL C/ ISOLAMENTO 6&apos;&apos; (PACT 6MT,1
011639,DUTO FLEXIVEL C/ ISOLAMENTO 6&apos;&apos; (PACT 6MT),12
011967,DUTO FLEXIVEL C/ ISOLAMENTO 8&apos;&apos; (PACT 6MT),2
008796,DUTO FLEXIVEL C/ ISOLAMENTO 8&quot;,3
006887,DUTO FLEXIVEL C/ISOLAMENTO 06&quot;,18
011842,DUTO SISTEMA VRF TRANE DE 24.000 BUTS,1
011906,"Dutos flexíveis de isolado , colarinhos e chapas para tampar buracos  adequação e individualização da climati",1
011766,"DUTOS: FORNECIMENTO E INSTALAÇÃO DE CONJUNTOS DE FECHAMENTO DE MÁQUINAS, SENDO PEÇAS PARA CADA MÁQUINA E RELOCAÇÃO",1
001326,DVR HIKVISION PARA 16 CÂMERAS 1080P,10
009349,DWLT ALICATE CORTE DIAGONAL 6&quot;,1
010447,DWLT BOLSA P/FERRAMENTAS 16&quot;,1
009629,DWLT BOLSA P/FERRAMENTAS MULTITASK C/RODINHAS,1
008590,DWLT CHAVE HEXAGONAL C/9 PÇS (JOGO),1
008591,DWLT CHAVE HEXAGONAL MM C/8 PÇS (JOGO),1
008592,DWLT DISCO CORTE 4   1/2 X 1.0 X 7/8,3
010042,ECHO POP SMART SPEAKER AMAZON COR PRETO C2H4R9,1
008787,ELABORAÇÃO DE LAUDO COM ART,1
012287,"Elaboração de laudo técnico do SPDA (para-raios), conforme proposta nº 16358/SPDA-02/2026.",1
007335,ELÁSTICO DE CABELO RABICÓ TIPO MEIA,1
005938,ELASTICO LATEX 100G PREMIER,4
012447,ELASTICO LATEX NATURAL 100G N.18 PREMIER,1
011832,ELEMENTO TATIL DIRECIONAL PRETO,1
009277,ELETROCALHA LISA 100 X 50 X 3000MM,2
009273,ELETROCALHA LISA 20X10X300CM SEM VIROLA #24 PRÉ ZINCADO,1
001222,ELETROCALHA PERFIL 100X50X3000MM S/V #24,4
003641,ELETROCALHA PERFURADA TIPO U 150X50X3000,4
008669,ELETROCALHA PERFURADA TIPO U 300X50X3000MM #22 PZ SEB BRASIL,1
001755,ELETRODO,4
004926,"ELETRODO ARCOS 3,25MM",1
012555,ELETRODUTO 60MM GALVAN 3MT,1
011008,ELETRODUTO DE PVC RIGIDO ROSCAVEL 3/4 POLEGADAS COM 3 METROS,2
005210,ELETRODUTO GALV LEVE 3/4,20
004699,ELETRODUTO GALVANIZADO 1 X 3MTS,1
004698,ELETRODUTO GALVANIZADO 3/4 X 3 MTS LEVE,11
010036,ELETRODUTO GALVANIZADO MEDIO 1.1/2 POLEGADA COM 3 METROS,1
009509,ELETRODUTO GALVANIZADO MEDIO 3 POLEGADAS COM 3 METROS,1
009511,"Eletroduto Galvanizado Pré-Zincado (1,1/4&quot;) 0,80Mm 3 Metros Tampa Cinza GFC",1
009514,"Eletroduto Galvanizado Pré-Zincado (2&quot;) 0,80Mm 3 Metros Tampa Cinza GFC",1
012035,"ELETRODUTO PVC 3/4 3,0MT PT",2
006258,ELETROFITA TELA FIBRA DE VIDRO (METRO),1
006701,ELIMINADOR DE ODORES RALO DE BANHEIRO ANTI-ODOR,1
009289,EMBOLO REPARO VALVULA HYDRA LUXO MASTER H80 1.1/2,1
008603,EMENDA DE ELETROCALHA,6
009290,EMENDA ENCAIXE PARA MANGUEIRA CONECTOR EXTENSOR 1/2 JARDIM,1
004146,EMENDA INT. U 50X300MM PERF #24,1
009275,EMENDA INTERNA EM U 200X100MM CHAPA 22,1
009149,EMENDA MANGUEIRA FILTRO 1/4 C/ REG,2
007280,EMENDA MANGUEIRA UNIÃO 3/8 COMPATÍVEL COM PURIFICADOR SOFT,1
001609,EMENDA PARA PERFIL F-530,1
007527,EMENDA TRILHO ELETRIFICADO RETO BRANCO,1
004681,EMENDA TRILHO ELETRIFICADO RETO PT,4
011353,Emenda X Para Perfilado 38x38mm,1
009344,EMENDAS JUMPER CONECTOR 2 VIAS PARA FITA LED 8MM SMD3528,1
009137,ENCADERNAÇÃO ESPIRAL 9MM,1
011600,ENCARGOS,1
005198,ENCHIMENTO ALMOFADA,6
001295,ENCORE LAY-IN 13X625X1250 MM BRANCO,1
006535,ENCORE LAY-IN 13X625X625 MM BRANCO,1
003685,ENGATE FLEXIVEL 1/2 60CM,31
004522,ENGATE FLEXIVEL 40CM,8
008745,ENGATE RÁPIDO DE METAL PARA MANGUEIRA DE 3/4 TORNEIRA 3/4,3
006631,ENV 176X250 KN 80G SKN025 C/250 SCRITY,3
005922,ENV 250X353 KN 80G SCRITY SKN035,5
012094,ENVELOPAMENTO BRANCO,7
012490,ENVELOPAMENTO BRANCO,1
011816,envelopamento branco beiral janelas,1
011515,ENVELOPAMENTO BRANCO ESQUADRIAS,1
011815,envelopamento cinza wc,2
012467,ENVELOPAMENTO MADEIRA,2
011827,envelopamento porta hidrante,1
009074,ENVELOPAMENTO PORTAS 62/72/82X210,1
011923,Envelopamento portas elevadores - adesivo telado,1
011725,Envelopamento portas wc e saída emergência  - preto fosco,1
011814,envelopamento preto,3
011267,ENVELOPAMENTO PRETO FOSCO,22
011268,ENVELOPAMENTO PRETO FOSCO,46
011924,Envelopamento preto fosco batente elevadores,1
001285,ENVELOPE KRAFT NATURAL 80G 176X250,2
001286,ENVELOPE PLASTICO A4,1
001287,ENVELOPE SACO KRAFT NATURAL 80G 250X353,4
003632,ENXADA,1
001246,EP F06 ISOLAMENTO ELASTOMERICO 09MM 1/4&quot;C,17
001247,EP F10 ISOLAMENTO ELASTOMERICO 09MM 3/8&quot;C.1/8&quot;,30
006498,EP F12 ISOLAMENTO ELASTOMERICO 09MM 1/2 C.,7
001249,EP F12 ISOLAMENTO ELASTOMERICO 09MM 1/2&quot;C,14
004581,EP F15 ISOLAMENTO ELASTOMERICO 09MM 5/8 C.1/4 F,32
004580,EP F18 ISOLAMENTO ELASTOMERICO 09MM 3/4 C.3/8 F,9
009495,EP F22 ISOLAMENTO ELASTOMERICO 09MM 7/8&quot;C.1/2&apos;F,2
006497,EP F25 ISOLAMENTO ELASTOMERICO 09MM 1 C.,9
006165,EP F28 ISOLAMENTO ELASTOMERICO 09MM 1.1/8C.3/4F.,16
009046,EP F42 ISOLAMENTO ELASTOMERICO 09MM 1.5/8C.1.1/4F.,1
009493,EP F48 ISOLAMENTO ELASTOMERICO 09MM 1.7/8C.1.1/2F.,1
004080,EP FITA AUTOADESIVA,21
012552,EP FITA AUTOADESIVA 10 MTS COM MALHA ELASTOMERICA,1
004104,EP H28 ISOLAMENTO ELASTOMERICO 13MM,1
004366,EP H38 ISOLAMENTO ELASTOMERICO 13MM 1.1/2C,2
008585,"EP KFLEX F22 7/8C 10MM ELASTOMERICO BARRA 1,83MT",5
009494,"EP KFLEX H32 1.1/4C 13MM ELASTOMERICO BARRA 1,83MT",1
009220,"EP KFLEX H38 1.1/2C 13MM ELASTOMERICO BARRA 1,83MT",1
011606,EP TUBEX INVERTER BRANCO 9/06 1/4,4
011607,EP TUBEX INVERTER BRANCO 9/09 3/8,3
003876,EP TUBEX INVERTER BRANCO 9/19 3/4,2
007494,EP TUBEX INVERTER BRANCO 9/19 3/8,1
003358,EP TUBEX INVERTER PRETO 9/06 1/4,22
003359,EP TUBEX INVERTER PRETO 9/09 3/8,23
004313,EP TUBEX INVERTER PRETO 9/13 1/2,3
005176,EP TUBEX INVERTER PRETO 9/15 5/8,7
006904,EP TUBEX INVERTER PRETO 9/19 3/4,4
009470,EQUIPAMENTOS EVAPORADORES TETO APARENTE DE 5HP CADA (INFRA E STARTUP),1
004917,ESCADA 2 DEGRAUS,7
005226,ESCADA ALUMINIO 07 DEGRAUS,8
004668,ESCADA ALUMINIO 5 DEGRAUS,6
006333,ESCADA ALUMINIO 5 DEGRAUS 150KG,4
001724,ESCADA ALUMINIO RESID. 6 DEGRAUS,5
001299,ESCADA COM 3 DEGRAUS,12
008899,"ESCADA DE FIBRA/ALUMINIO TESOURA DUPLA 07 DEGRAUS (2,10MT)",5
001042,ESCADA MULTIFUNCIONAL 4X4 C/ 16 DEGRAUS AL,1
012076,"ESCADA TESOURA DUPLA EM FIBRA 5 DEGRAUS 1,50 METROS WBERTOLO-TAFD-5",1
008621,ESCORREDOR DE PIA AÇO 13 PRATOS PRATEADO RACK ORGANIZADOR,3
009080,ESCOVA DE AÇO CIRCULAR,2
006989,ESCOVA DE CARVÃO PARA MARTELETE MPV 620,1
001044,ESCOVA DE VEDAÇÃO P/ PORTAS DE VIDRO CINZA 5X5,1
001045,ESCOVA DE VEDAÇÃO P/ PORTAS DE VIDRO PRETO 5X5 50M,27
010094,Escova P/ Lavar Garrafas Cerveja Mamadeira Nylon 38 Cm,2
005195,ESCOVA PARA LIMPEZA DE CANUDOS,3
012237,ESCOVA SANITARIA C/ SUPORTE 3273 DSR,4
007702,ESCOVA SANITARIA C/ SUPORTE 88 DSR,6
008053,ESCOVA SANITARIA C/ SUPORTE 88 DSR,1
005658,ESCOVA SANITARIA C/SUP E091 BR CAICARA,13
009081,ESCOVA TIPO COPO TORCIDA 3&quot;,1
005964,ESCOVA UNHA CINZA 9138T BETTANIN,19
005748,"ESCOVA USO GERAL 9,5X4,5X2,5CM",2
007336,ESCOVINHA PARA SOBRANCELHAS DESCÁRTAVEIS,1
006634,"ESFEROGRAFICA BIC FINA 0,8 PRETA",2
011949,"ESFEROGRAFICA FINA 0,8 AZUL BIC",1
003420,ESGUICHO REGULÁVEL 1.½ LATÃO,3
009226,ESM. SINT. A.B AMARELO LUKSCOLOR 900 ML,1
000142,ESMAL BRILH 1/4 VERMELHO SUVINIL,1
001765,"ESMALTE A BASE DE AGUA ACETINADO BRANCO 3,6L",2
001266,"ESMALTE SINTETICO  FOSCO 3,6 L",1
009456,"ESMALTE SINTETICO TINTA 3,6L COR CERAMICA",1
008890,ESMERILHADEIRA ANGULAR 4.1/2`` 850 WATTS,2
000945,ESMERILHADEIRA ANGULAR 4.1/2`` 860 VONDER,5
004550,ESMERILHADEIRAS,1
000329,ESMERILHADIERA ANGULAR 850W MAKITA,4
001046,"ESPAÇADOR CORTAG 1,5MM",2
008831,ESPAÇADOR CRUZETA 02MM C/ 100,1
001496,ESPAÇADOR DE PISO CERAMICO,1
012063,ESPACADOR KONE,2
008973,ESPAÇADOR NIVELADOR,3
006287,"ESPAÇADOR PARA NIVELAMENTO 1,0MM C/ 50 PEÇAS",3
004643,ESPAÇO JUNTAPISO 1MM CINZA 100 PEÇAS,2
009051,ESPAGUETE/TUBO TERMO RETRÁTIL ISOLAMENTO 25MM PRETO 10 METROS,1
008960,ESPANADOR ELETROSTATICO AJUSTAVEL CABO LONGO ANGULAR TIRA PÓ,9
005917,ESPANADOR ELETROSTATICO AZUL EE605,5
005950,ESPANADOR ELETROSTATICO AZUL EE605,6
005935,ESPANADOR ELETROSTATICO CRYSMAR,1
008363,ESPANADOR ELETROSTATICO SEM CABO,1
009148,"ESPATULA 06,0 CM CONDOR 857",1
008659,"ESPATULA 08,0CM",3
008732,"ESPATULA 12,0CM CONDOR 857",8
001047,ESPATULA DE AÇO INOX 60MM,12
000160,ESPELHO 4 MM GUARDIAN LAPIDADO,13
004082,ESPELHO 4 MM LAPIDADO,49
008852,ESPELHO 5 MM GUARDIAN LAPIDADO,6
011527,ESPELHO 6 MM LAPIDADO,9
010306,ESPELHO PARA MOLA DORMA BTS-75V MEDIA INOX PARA MOLA,1
008198,Espelho Placa Cego Cinza 4x2 Legrand Pial Plus+ C/ Suporte,6
012432,ESPETO ESPÍCULA ANTI POMBOS POLICARBONATO,1
004030,ESPETO LED 15W LUMINARIA,1
001478,ESPONJA DUPLA FACE,14
005612,ESPONJA DUPLA FACE MAGICA SCOTCH,7
000693,ESPONJA DUPLA FACE MILTIUSO,2
012156,ESPONJA DUPLA FACE VD/AM SCOTCH BRIT EMB IND,19
007229,ESPREGUIÇADEIRA ADIRONDACK,1
003365,ESPUMA,2
001562,ESPUMA ACÚSTICA CAIXA DE OVO,3
011525,Espuma Acústica Kit 50 Placas 50 X 50 X 2cm Estudio Lisa,2
010727,Espuma Acustica Kit C/ 10 Pcs 50cm X 50cm X 2cm Lisa,1
001310,ESPUMA D-33 LARANJA 02 CM (METRO),1
001682,ESPUMA EXPANSIVA 500ML,13
006081,ESPUMA EXPANSIVA TYTAN POLIPROPILENO 500ML 340G,2
008967,ESPUMA POLIUR MONTAGEM 500ML,2
009927,ESPUMANTE FILTRADO GF 660ML,1
006956,ESQUADRO 14 ALUM FUNDIDO 324739 MTX,1
003659,ESQUADRO BASICO,5
004053,ESTANHO BARRA,9
006999,"ESTANTE 1,90X0.80 M ARMARIO ESTILO INDUSTRIAL METAL MADEIRA",2
001726,ESTANTE DE ACO,1
010429,ESTANTE FLORENÇA CARVING NATURAL E PRETA 180 CM,2
012146,Estante para Livros 5 Prateleiras 202cmx122cm Málaga Yescasa Preto/Noce Oro,1
011833,Estante Steel Quadra 2 PT Vermont,1
007145,ESTEIRA PALHA TABOA TIPO A FORRO PERGOLADO,2
001346,ESTICADOR CABO ACO IMP M6-1/4,1
005136,ESTICADOR CABO DE ACO 3/8,3
001103,ESTILETE,19
001432,ESTILETE,2
006423,ESTILETE LARGO PLAST 18MM 1002.17.99 VMP,1
006424,ESTILETE LARGO PLAST 18MM 1002.17.99 VMP,3
006612,ESTILETE LARGO PLAST 18MM ES1801 BRW,1
006615,ESTILETE LARGO PLAST 18MM ES1801 BRW,8
005637,ESTILETE LARGO PLAST 18MM GO OFFICE,2
005661,ESTILETE LARGO PLAST 18MM GO OFFICE,3
007539,ESTOJO DE VELUDO PARA PLACAS,2
007299,ESTRUTURA ARCO RETANGULAR SUPORTE PAINEL CORTINA LONA FESTA,1
006752,ESTRUTURA EM AÇO MESA MODELO ON COM 2 PÉS TRAVES 1300X740X500MM,1
000889,ESTRUTURA MESA DE REUNIÃO PRETO,12
000811,ESTRUTURA MESA REUNIAO DUO 1200L X 1000P X 740H PRETO TX,6
012577,"Estrutura nova em aço para mesa com 1200L x 475P, considerando 02 pés terminais tubo  50x50 medindo 475L x 715H, incluso",1
012578,"Estrutura nova em aço para mesa com 1200L x 475P, considerando pé terminal tubo 50x50  medindo 475L x 715H, inclusos 04",1
000890,ESTRUTURA OFFICE 1200X475 LD BRANCO,2
000891,ESTRUTURA OFFICE 1200X475 LD PRETO,2
000892,ESTRUTURA OFFICE 1200X475 LE BRANCO,2
000893,ESTRUTURA OFFICE 1200X475 LE PRETO,2
005125,ESTRUTURA SUPORTE REGULÁVEL P/ BANNER PAINEL LONA,1
003435,ETIQUETA ADESIVA PARA CODIFICACAO,1
005617,ETIQUETA DE SINALIZAÇÃO VOLTAGEM 110V,9
011216,ETIQUETA DE SINALIZAÇÃO VOLTAGEM 110V/220V,2
005616,ETIQUETA DE SINALIZAÇÃO VOLTAGEM 220V,8
008215,ETIQUETA GOWORK REDONDA COR PRETA,4
008216,ETIQUETA GOWORK REDONDA FUNDO BRANCO,2
009356,ETIQUETA LIXO ORGANICO,1
009355,ETIQUETA LIXO RECICLAVEL,1
012073,ETIQUETA PRÓXIMA TROCA DE ÓLEO,1
008218,ETIQUETA REDONDA ALCOOL EM GEL,2
003988,EVAP DT FXSQ80PAVE 8.000 KCAL/H - DAIKIN,1
008813,"EVAP DUTO VRF DAIKIN 30K 3,2HP (FXSQ80PAVE)",1
012242,Evaporadora  Duto Média Pressão 30K -  4TVD0030KF000AA MP Connect - Trane,2
012486,"EVAPORADORA CARRIER  DUTO 48.000 BTUS,220V,F/QF, MOD. 42BQA048510HC",1
007503,"EVAPORADORA CARRIER INVERTER TETO 30.000 BTUS,220V,F/QF MOD. 42AZQVB30C5",1
008438,"EVAPORADORA LG INVERTER R32 HI WALL 12.000 BTUS,220V,FRIO,  MOD. S3NQ12JA31K.EB2GAM1",2
008441,"EVAPORADORA LG INVERTER R410 HI WALL 18.000 BTUS,220V,FRIO,  MOD. S4NQ18KL31B.EB2GAM1",1
000068,EVAPORADORA LG MULTI INVERTER HIWALL 09.000 BTUS 220V,2
011058,"EVAPORADORA LG MULTI INVERTER HIWALL 09.000 BTUS,220V,QF, MOD. AMNW09GSJA0.EMBZBRZ",1
004161,EVAPORADORA SPRINGER MIDEA HI WALL FIXO R32 09.000 BTUS 220V FRIO,1
008530,EVAPORADORA SPRINGER MIDEA INVERTER R32 09.000 BTUS 220V FRIO,3
008678,"EVAPORADORA SPRINGER MIDEA INVERTER R32 HI WALL 24.000  BTUS,220V,QF, MOD. 42AGVQI24M5",1
011682,"EVAPORADORA SPRINGER MIDEA MULTI INVERTER HI WALL 09.000 BTUS,220V, MOD. 42AGMA(SB)09M5",1
008784,"EVAPORADORA SPRINGER MIDEA MULTI INVERTER HI WALL 12.000  BTUS,220V, MOD. 42AGMA(SB)12M5",1
009433,EXAUSTOR AXIAL EM LINHA 100 MM RESIDENCIAL - TURBO EXL 220V,1
008472,EXAUSTOR AXIAL EM LINHA 200MM - 220V,3
000037,EXAUSTOR AXIAL RESIDENCIAL 150mm EXL 220v VENTISOL,3
000087,EXAUSTOR P/BANHEIRO 150mm BIV. EXB VENTISOL,2
003493,EXAUSTOR PARA BANHEIRO VENTILADOR VENTISOL,2
004859,EXAUSTOR VENTOKIT,19
006298,EXECUÇÃO DE PISO DOS BANHEIROS COM RODA PÉ,1
006296,EXECUÇÃO DE RAMPA DE ALVENARIA,1
006297,EXECUÇÃO DE REQUADRAMENTO DE PORTAS,3
011808,execução de shaft de drywall,1
008935,EXPOSITOR SUPORTE BOLA DE GOLF DECORAÇÃO GOLFERS 4 BOLINHAS COR PRETO,1
008433,"EXTENSÃO ELÉTRICA 20 METROS 10A CABO PP 2X1,0 REFORÇADO 127V/220V",4
012281,"EXTENSÃO ELÉTRICA 30 METROS 10/20A CABO PP2X2,5MM REFORÇADA",1
009417,"EXTENSÃO REFORÇADA 30M PP 3X1,00MM 10/20A C/ FIO TERRA",6
011823,EXTENSOR DE MESA WOOD ITAPUÃ - 1200x250MM - ESPESSURA de 18MM,1
008866,EXTINTOR AGUA 10L,2
008850,EXTINTOR CO2 6KG NOVO,4
008867,EXTINTOR PÓ 4KG BC,3
008842,FABRICAÇÃO DE TAMPO DE MESA CONFORME PROJETO,3
009104,FABRICAÇÃO E COLOCAÇÃO DE SOLEIRA,2
009484,FABRICAÇÃO E INSTALAÇÃO DE ABAFADORES,2
008214,FABRICAÇÃO E INSTALAÇÃO DE RAMAIS DE DUTOS,3
006018,FACILIN LIQUIDO BB 5L,2
006478,FAIXA BANDEIRA DECORATIVA ARRAIA,1
011692,Faixa com o logo Gowork,2
012399,FAIXA DE INAUGURAÇÃO 2 MTS C. X 6CM L. VELUDO VERMELHO,1
011273,FAIXA GO WORK IMPRESSAO DIGITAL,2
012212,FAIXA GO WORK IMPRESSÃO DIGITAL INSTALADA,1
012470,FAIXA IMPRESSÃO DIGITAL,1
011734,Faixa Para Inauguração Com Laço 2 Metros Oxford,2
011513,FAIXA PERSIANA,9
011826,FAIXA PERSIANA,2
012099,FAIXAS COM LOGO GO WORK INSTALADAS,1
011965,FAN MOTOR (NEAR SWITCH BOX) 3P077143-1  A08P380C20 AC200V 4P 380W (S) M1F,2
011961,FAN MOTOR 3P028033-1 A08P380B20 AC220V 380W (S)  M2F,2
004560,FECHADURA,4
012189,Fechadura  Eletrônica Primebras,2
000066,FECHADURA 0871 P/ARMARIO 180 22MM CROMADO,3
011963,Fechadura 1520 E Contra Fechadura 1531 Para Porta De Vidro Cor Cromado,2
000067,FECHADURA 3288 FRONTAL P/GAVETEIRO S/ACESS 1 ABA NIQUEL,2
003921,FECHADURA AROUCA,9
003821,FECHADURA BANHEIRO,18
009133,FECHADURA DAMA BANHO 5080901/40 PRETO,1
000293,FECHADURA DE PORTA DE CORRER V/A KIT 10 PRETO,19
000294,FECHADURA DE PORTA DE CORRER V/V KIT 09 PRETO,14
000295,FECHADURA DE PORTA DE VIDRO AL 3534 PRATA,1
000297,FECHADURA DE PORTA DE VIDRO KIT 01 PRATA,2
000298,FECHADURA DE PORTA PIVOTANTE KIT 01 PRETO,19
004299,FECHADURA DE SOBREPOR,1
010236,FECHADURA DIGITAL FR 101 INTELBRAS (Preto),6
012093,FECHADURA DIGITAL INTELBRAS BIOMETRICA MFR4000 PORTA VIDRO DE ABRIR CORRER SEM FURAR BLINDEX,1
005036,FECHADURA DIGITAL PARA PORTA DE VIDRO,1
001331,FECHADURA DIGITAL PARA PORTA DE VIDRO FR400,3
011508,FECHADURA DIGITAL SMART MFR 1001,1
009818,FECHADURA E CONTRA DE PRESSÃO P/ PORTA DE ABRIR 1520P/1504P,1
012341,FECHADURA E CONTRA FECHADURA KIT10 VIDRO/ALVENARIA AL COR CINZA,1
001121,FECHADURA ELÉTRICA C-90 DUPLA PRETA HDL,2
007327,FECHADURA ELETRONICA DIGITAL P/ PORTA DE CORRER FR 210 INTELBRAS,12
007087,FECHADURA ELETRONICA DIGITAL PARA PORTA DE CORRER PRIMEBRAS,8
000320,FECHADURA ELETRONICA DIGITAL TOUCH SCREEN,21
001413,FECHADURA ELETRONICA UNIVERSAL 150M,1
004221,FECHADURA EXTERNA,6
011721,FECHADURA EXTERNA ROSETA REDONDA TRINCO ROLETE 1005 45MM PRETA,2
007055,Fechadura Fecho Lingueta C/ Chave P/ Armario De Aco 4511,2
000848,FECHADURA GAVETA 22MM 871 (P/ LOCKER),9
007246,FECHADURA INOX PARA VIDRO/VIDRO DE PRESSÃO PIVOTANTE VV 058,2
010363,FECHADURA MAÇANETA PORTA CORTA FOGO COM CHAVE COR CINZA,1
001624,FECHADURA MAGNETICA M150 IPEC,15
010970,FECHADURA NOA 121-Z PRETO FOSCO 55MM EXTERNA,1
004539,FECHADURA PADO 2 BEETHOVEN 82990E EXTERNO PADO PRETO TEXTURA,1
004815,FECHADURA PARA JANELA DE VIDRO,2
000849,FECHADURA PARA MOVEIS NIQUELADO 3288 (P/ GAVETEIRO),11
004593,FECHADURA PIVOTANTE,2
008561,FECHADURA PORTA CORTA FOGO S/ CHAVE,8
007144,FECHADURA PORTA GAVETA ARMARIO MOVEIS CROMADA 22MM,3
009450,FECHADURA PPA ELETRONICA ELETRICA TIPO INTELBRAS HDL C90 AGL,1
