codigo_removido,codigo_mantido,produto,descricao
012243,003733,"Controle Remoto Sem Fio","Controle remoto sem fio (IDUs Ultra)"
012106,008524,"Controle Remoto Sem Fio - Familia Set Free - Para Sistema Funcional","Controle Remoto sem fio - Família Set Free - Para Sistema Funcional"
003785,002580,"Costela De Adão Artificial Decorativa","COSTELA DE ADÃO ARTIFICIAL DECORATIVA"
006382,006381,"Cotovelo PVC Ama /4","COTOVELO PVC MARROM AMA 45X3/4 32MM"
009048,011783,"DED-4+CPD+ET-DIFUSOR Europeu 4 Vias C/caixa Plenum E Cavalete C/ Parafuso","DED-4+CPD+ET-DIFUSOR EUROPEU 4 VIAS C/CAIXA PLENUM E CAVALETE C/ PARAFUSO"
006522,006315,"Desentupidor De Pia Borracha Pret 97 Dsr","DESENTUPIDOR DE PIA BORRACHA PRET 97 DSR"
001720,002033,"Detergente","DETERGENTE 5L"
012000,007492,"Difusor De 4 Vias Tamanho 3"" C/ Registro","DIFUSOR DE 4 VIAS TAMANHO 3'' C/ REGISTRO"
002110,003277,"Dispenser Copo Descartável","DISPENSER COPO DESCARTÁVEL"
001282,000956,"Display A4","DISPLAY A4"
001283,000957,"Display A5","DISPLAY A5"
006616,006613,"Display Expositor Em L A5 Cr Novacril","DISPLAY EXPOSITOR EM L A5 CR NOVACRIL"
006768,006766,"Display Quadro Multiuso A4 865 Acrimet","DISPLAY QUADRO MULTIUSO A4 865 ACRIMET"
011967,008796,"Duto Flexivel C/ Isolamento 8","DUTO FLEXIVEL C/ ISOLAMENTO 8'' (PACT 6MT)"
009514,009511,"Eletroduto Galvanizado Pré-zincado 3 Metros Tampa Gfc","Eletroduto Galvanizado Pré-Zincado (2"") 0,80Mm 3 Metros Tampa Cinza GFC"
011267,011268,"Envelopamento Fosco","ENVELOPAMENTO PRETO FOSCO"
006498,001249,"Ep F12 Isolamento Elastomerico","EP F12 ISOLAMENTO ELASTOMERICO 09MM 1/2 C."
008053,007702,"Escova Sanitaria C/ Suporte 88 Dsr","ESCOVA SANITARIA C/ SUPORTE 88 DSR"
005917,005950,"Espanador Eletrostatico EE605","ESPANADOR ELETROSTATICO AZUL EE605"
001432,001103,"Estilete","ESTILETE"
006423,006424,"Estilete Largo Plast 1002.17.99 Vmp","ESTILETE LARGO PLAST 18MM 1002.17.99 VMP"
006612,006615,"Estilete Largo Plast ES1801 Brw","ESTILETE LARGO PLAST 18MM ES1801 BRW"
005637,005661,"Estilete Largo Plast Go Office","ESTILETE LARGO PLAST 18MM GO OFFICE"
011826,011513,"Faixa Persiana","FAIXA PERSIANA"
007731,007400,"Filtro Smart Coffee Mod. Bunn Icb/ Icba","FILTRO SMART COFFEE MOD. BUNN ICB/ ICBA"
003333,004498,"Fita Adesiva 48MMX45M","FITA ADESIVA 48MMX45M"
012457,011956,"Fita Adesiva Transp Alltape","FITA ADESIVA TRANSP 24X50 ALLTAPE"
000465,000065,"Fita Crepe Adelbras 24MMX50M","FITA CREPE ADELBRAS 24MMX50M"
005668,005644,"Fita Dupla Face Vhb Verm 4910 3M","FITA DUPLA FACE 25X33M VHB VERM 4910 3M"
001672,001344,"Fita Dupla Face 3M","FITA DUPLA FACE 3M"
007656,007340,"Fita Emp Transp REF5802 3M","FITA EMP 45X45M TRANSP REF5802 3M"
000580,000179,"Fita Isolante X 20M","FITA ISOLANTE 18MM X 20M (3M IMPERIAL)"
000562,000161,"Fita Isolante 3M Imperial X 20M","FITA ISOLANTE 3M IMPERIAL 18MM X 20M"
011457,008776,"Içamento Da Condensadora","IÇAMENTO DA CONDENSADORA"
011564,011512,"Jateado Piso Teto","JATEADO PISO TETO"
003741,002536,"Lavagem De Tapete","LAVAGEM DE TAPETE"
004744,003586,"Luva Para Lavagem De Vidros","LUVA PARA LAVAGEM DE VIDROS"
007589,007533,"Maleta Caixa Plastica Vonder","MALETA CAIXA PLASTICA VONDER"
000379,000780,"Marca Texto","MARCA TEXTO"
001308,001636,"Materiais Diversos","MATERIAIS DIVERSOS"
011396,009796,"Mesa De Jantar Redonda Tampo Em MDP Base Zeta Preto","Mesa de Jantar Redonda 60 cm Tampo Preto em MDP Base Zeta Preto"
011563,011828,"Números De Sala","NUMEROS DE SALAS"
005602,005611,"Oleo Odorizador Algodao Coala","OLEO ODORIZADOR ALGODAO 120ML COALA"
005590,005592,"Pa De Lixo Plastico","PA DE LIXO PLASTICO"
001440,001111,"Pano Alvejado","PANO ALVEJADO BRANCO"
001112,001441,"Pano Alvejado Xadrez","PANO ALVEJADO XADREZ"
005631,005655,"Pano Multiuso Az 27CMX300M Bettanin","PANO MULTIUSO AZ 27CMX300M 35G BETTANIN"
012452,012365,"Pano Multiuso 27CMX300M 2735AZ Bettanin","PANO MULTIUSO AZUL 27CMX300M 35G 2735AZ BETTANIN"
001113,001442,"Pano Multiuso Rolo 300MT","PANO MULTIUSO ROLO 300MT"
001235,001564,"Papel Sulfite A4 Copimax","PAPEL SULFITE A4 COPIMAX"
002809,004015,"Pedrisco","PEDRISCO"
002962,004168,"Pelicula","PELICULA"
012115,011953,"Pelicula Segurança","pelicula segurança"
012388,012210,"Película G5","PELÍCULA G5"
011723,011722,"Película Persiana","Película Persiana"
011689,011819,"Película Titanium","Película Titanium"
009846,009844,"Perfect Rodo Borracha Safepro","PERFECT RODO 35CM BORRACHA SAFEPRO 4X1"
000777,000376,"Pilha Aaa","PILHA AAA"
006705,006723,"Pilha Alcalina Aa C/4 Elgin","PILHA ALCALINA AA C/4 ELGIN"
012450,012016,"Pilha Alcalina Aaa C/4 Elgin","PILHA ALCALINA AAA C/4 ELGIN"
005636,005660,"Pincel Trincha 695 Tigre","PINCEL TRINCHA 695 1POLEGADA TIGRE"
000975,001301,"Placa Sinalizadora - Piso Molhado P5","PLACA SINALIZADORA - PISO MOLHADO P5"
001828,001509,"Planta Jiboia","PLANTA JIBOIA"
001609,001281,"Plastico Bolha Rolo","PLASTICO BOLHA ROLO"
004208,007001,"Poltrona Julia E Cinza","POLTRONA JÚLIA NATURAL E CINZA"
001226,000099,"Porca Sextavada","PORCA SEXTAVADA 1/4"
005436,005185,"Refil Mop Eletrostático","REFIL MOP ELETROSTÁTICO"
005956,005958,"Refil Mop Po Profi RP400 Bralimpia","REFIL MOP PO 40CM PROFI RP400 BRALIMPIA"
