codigo,descricao,motivo
004990,"SERVIÇO DE PINTURA",servico
004987,"SERVIÇO DE PINTURA DE FACHADA PREDIAL",servico
008896,"SERVIÇO DE PREPARAÇÃO DE PAREDES E PINTURA DAS PAREDES DE DRYWALL",servico
006667,"SERVIÇO DE RASPAGEM E APLICAÇÃO DE VERNIZ",servico
006912,"SERVIÇO DE RECOLOCAÇÃO DE PLACAS DESMONTAGEM",servico
007433,"SERVIÇO DE REFORÇO ESTRUTURAL",servico
012485,"SERVIÇO DE REFORMA CIVIL PARA CONSTRUÇÃO DE LAYOUT DE ESCRITÓRIO",servico
007267,"SERVIÇO DE REFORMA DE ESTOFADO",servico
006514,"SERVIÇO DE REGULAGEM E ALINHAMENTO",servico
007286,"SERVIÇO DE REGULAGEM, TROCA DE PLACA E PERFIL",servico
008936,"SERVIÇO DE REGULARIZAÇÃO DO PISO",servico
007073,"SERVIÇO DE REGULARIZAÇÃO DO PISO E MASSA ALTO NIVELANTE",servico
008992,"SERVIÇO DE RELOCAÇÃO DE PONTOS DE AGUA",servico
008939,"SERVIÇO DE REMANEJAMENTO DE CABOS DE AR CONDICIONADO",servico
008941,"SERVIÇO DE REMANEJAMENTO DO QUADRO DE AR CONDICIONADO",servico
011947,"Serviço de remoção de adesivo",servico
007446,"SERVIÇO DE REMOÇÃO DE PAPEL DE PAREDE",servico
009058,"SERVIÇO DE REMOÇÃO DE PELICULA",servico
009059,"SERVIÇO DE REMOÇÃO DE PELICULA",servico
008647,"SERVIÇO DE REMOÇÃO DO REVESTIMENTO E REGULARIZAÇÃO DO PISO",servico
008648,"SERVIÇO DE REMOÇÃO E INSTALAÇÃO DE ESGOTO GERAL - INSTALAÇÃO HIDRAULICA",servico
004968,"SERVIÇO DE REPARAÇÃO E MANUTENÇÃO HIDRAULICO",servico
011806,"Serviço de reparo de vazamento de gás",servico
008993,"SERVIÇO DE REPARO DOS RALOS, RETIRADA E RECOLOCAÇÃO DE PISOS",servico
008847,"SERVIÇO DE REPARO ELETRICO NO GERADOR",servico
008990,"SERVIÇO DE REPARO GERAL NO REGISTRO",servico
007256,"SERVIÇO DE REPARO NA ESTRUTURA DA PORTA",servico
005039,"SERVIÇO DE REPARO NA MOTOBOMBA",servico
005290,"SERVIÇO DE REPARO NA MOTOBOMBA",servico
009660,"SERVIÇO DE REPARO NA TUBULAÇÃO DE AGUA",servico
008991,"SERVIÇO DE REPARO NO GESSO",servico
007296,"SERVIÇO DE REPARO NO MÓDULO DE POTÊNCIA DO ELEVADOR",servico
012180,"SERVICO DE REPINTURA",servico
008929,"SERVIÇO DE RETIRADA DE ENTULHO",servico
008911,"SERVIÇO DE RETIRADA E INSTALAÇÃO DO DISJUNTOR",servico
004806,"SERVIÇO DE REVALIDAÇÃO DO AVCB",servico
009674,"SERVIÇO DE SUBSTITUIÇÃO DE REGISTRO DE HIDRANTE",servico
010480,"SERVIÇO DE SUBSTITUIÇÃO DE TORNEIRA DE BOIA",servico
006802,"SERVIÇO DE TRANSPORTE INSTAÇÃO E MEDIÇÃO TECNICA CONF. PROJETO",servico
008166,"SERVIÇO DE TROCA DE FILTROS E OLEO DO GERADOR",servico
006513,"SERVIÇO DE TROCA DE MECANISMO",servico
009809,"TREINAMENTO PARA TRABALHO EM ALTURA",servico
