codigo,descricao,motivo
012497,"FORNECIMENTO E INSTALAÇÃO DE 02 RAMAIS DE DUTOS ISOLADO DE 06 METROS CADA.",servico
011938,"FORNECIMENTO E INSTALAÇÃO DE 03 RAMAIS DE DUTOS DE 07 METROS CADA",servico
011917,"FORNECIMENTO E INSTALAÇÃO DE 04 RAMAIS DE DUTOS NOVOS, ISOLADO DE APROXIMADAMENTE 05 METROS POR ANDAR",servico
012534,"FORNECIMENTO E INSTALAÇÃO DE 04 RAMAIS DE DUTOS ISOLADO (02 DUTOS DE 03 METROS CADA E 02 DUTOS DE 02 METROS CADA, TOTA",servico
011116,"FORNECIMENTO E INSTALAÇÃO DE ACRILICO PARA TERMOSTATO",servico
007375,"FORNECIMENTO E INSTALAÇÃO DE BANDEJAS",servico
007248,"FORNECIMENTO E INSTALAÇÃO DE CORREIA",servico
007378,"FORNECIMENTO E INSTALAÇÃO DE DIFUSOR",servico
007376,"FORNECIMENTO E INSTALAÇÃO DE DRENO",servico
011897,"FORNECIMENTO E INSTALAÇÃO DE DUTO MPU FECHAMENTO DE MÁQUINA",servico
007196,"FORNECIMENTO E INSTALAÇÃO DE EQUIPAMENTO",servico
011860,"FORNECIMENTO E INSTALAÇÃO DE ESPELHO BIZOTE",servico
007224,"FORNECIMENTO E INSTALAÇÃO DE GRELHA DE RETORNO",servico
011476,"FORNECIMENTO E INSTALAÇÃO DE INFRA",servico
008746,"FORNECIMENTO E INSTALAÇÃO DE PEÇA DE DUTO",servico
008201,"FORNECIMENTO E INSTALAÇÃO DE RAMAIS DE DUTOS COMPLETOS ISOLADOS",servico
007368,"FORNECIMENTO E INSTALAÇÃO DE RAMAL DE DUTO ISOLADO",servico
008802,"FORNECIMENTO E INSTALAÇÃO DOS RAMAIS DE DUTOS NOVOS",servico
012495,"INSTALAÇÃO DE 01 EQUIPAMENTO DUTO CARRIER CONVENCIONAL DE 48.000 btus.",servico
012318,"INSTALAÇÃO DE 01 EQUIPAMENTO SPLIT HIWALL VRF 1.5 hp HITACHI E STARTUP DO SISTEMA.",servico
012319,"INSTALAÇÃO DE 01 EQUIPAMENTO SPLIT HIWALL VRF HITACHI 01 HP E STARTUP DO SISTEMA",servico
012533,"INSTALAÇÃO DE 01 SPLIT HIWALL 18.000 btus",servico
012310,"INSTALAÇÃO DE 02 DIFUSORES E 01 GRELHA DE RETORNO",servico
012507,"INSTALAÇÃO DE 02 DIFUSORES NOVOS E RELOCAÇÃO DE 01 DIFUSOR EXISTENTE",servico
012511,"INSTALAÇÃO DE 02 DIFUSORES NOVOS E TROCA DE 03 DIFUSORES VELHOS E COM DEFEITO (5)",servico
012314,"INSTALAÇÃO DE 02 EQUIPAMENTOS SPLIT HIWALL",servico
012323,"INSTALAÇÃO DE 03 EQUIPAMENTOS DUTO 30.000 btus CADA",servico
012539,"INSTALAÇÃO DE 03 GRELHAS DE RETORNO",servico
012537,"INSTALAÇÃO DE 04 GRELHAS DE RETORNO",servico
011456,"INSTALAÇÃO DE 07 DIFUSORES",servico
011937,"INSTALAÇÃO DE 10 GRELHAS DE RETORNO",servico
012496,"INSTALAÇÃO DE 10 SPLIT HIWALL 9.000 btus CADA (5 BI SPLIT)",servico
011936,"INSTALAÇÃO DE 18 DIFUSORES",servico
012536,"INSTALAÇÃO DE 26 DIFUSORES",servico
011921,"Instalação de 4 a 6 difusores por ramal novo por andar",servico
011920,"Instalação de 4 evaporadoras VRF Daikin 3HP (uma por andar)",servico
007250,"INSTALAÇÃO DE AR CONDICIONADO",servico
011121,"INSTALAÇÃO DE BOMBAS DE DRENO",servico
007042,"INSTALAÇÃO DE DIFUSOR",servico
011767,"INSTALAÇÃO DE DIFUSORES",servico
009311,"INSTALAÇÃO DE DIFUSORES E GRELHAS",servico
009644,"INSTALAÇÃO DE DIVISORIA DE DRYWALL COM MANTA DE ISOLAMENTO ACUSTICO",servico
011389,"Instalação de divisórias de vidro",servico
007405,"INSTALAÇÃO DE EQUIPAMENTO",servico
008436,"INSTALAÇÃO DE EQUIPAMENTO CONDENSADORA PENTA",servico
008428,"INSTALAÇÃO DE EQUIPAMENTO K7",servico
011770,"INSTALAÇÃO DE EQUIPAMENTO K7 4 hp VRF HITACHI 2",servico
008777,"INSTALAÇÃO DE EQUIPAMENTO NOVO + STARTUP DO SISTEMA",servico
008181,"INSTALAÇÃO DE EQUIPAMENTO SPLIT",servico
011771,"INSTALAÇÃO DE EQUIPAMENTO SPLIT HIWAILL 1 hp VRF HITACHI",servico
008779,"INSTALAÇÃO DE EQUIPAMENTOS DUTO DE 5HP",servico
008775,"INSTALAÇÃO DE EQUIPAMENTOS DUTO DE 5HP, 01 HW DE 2HP + INSTALAÇÃO DA REDE FRIGORIGENA NOVA",servico
004896,"INSTALAÇÃO DE ESTRUTURA",servico
008162,"INSTALAÇÃO DE EVAPORADORA DUTO DE 5HP",servico
011707,"Instalação de grelha",servico
007226,"INSTALAÇÃO DE GRELHA DE RETORNO",servico
011703,"instalação de grelhas de retorno",servico
008457,"INSTALAÇÃO DE INFRA NOVA",servico
009482,"INSTALAÇÃO DE MAQUINA DUTO 5HP",servico
008432,"INSTALAÇÃO DE NOVA FIAÇÃO ELETRICA PARA CASA DE MAQUINAS DOS ELEVADORES",servico
012517,"INSTALAÇÃO DE OUTRO EQUIPAMENTO NA SALA",servico
008792,"INSTALAÇÃO DE PISO LAMINADO",servico
008459,"INSTALAÇÃO DE PISO TETO E STARTUP DOS EQUIPAMENTOS",servico
004023,"INSTALAÇÃO DE PISO VINILICO/LAMINADO",servico
006911,"INSTALAÇÃO DE PLACAS",servico
006924,"INSTALAÇÃO DE PLACAS",servico
011744,"Instalação de porta madeira",servico
004173,"INSTALAÇÃO DE REDE DE PROTEÇÃO",servico
011475,"INSTALAÇÃO DE SISTEMA BI SPLIT COM EVAPORADORES MIDEA 9.000 BTUS",servico
011549,"INSTALAÇÃO DE SISTEMA DE BIOMETRIA CONTROLID",servico
011465,"INSTALAÇÃO DE SISTEMA MINI VRF (CONDENSADORA 18HP, HIWALL E DUTOS DE 04HP)",servico
011468,"INSTALAÇÃO DE SISTEMA PENTA LG (05 EVAP. 9.000 BTUS)",servico
012058,"INSTALAÇÃO DE SPLIT 1HP VR",servico
011705,"INSTALAÇÃO DE SPLIT HW",servico
011534,"INSTALAÇÃO DE SUPORTE DE BANDEIRA",servico
008458,"INSTALAÇÃO DO EQUIPAMENTO DUTO 60.000 BTUS E STARTUP",servico
007373,"INSTALAÇÃO DO EQUIPAMENTO DUTO VRF DAIKIN",servico
003965,"INSTALAÇÃO DO SISTEMA DE AR CONDICIONADO",servico
008462,"INSTALAÇÃO DO SISTEMA DE RETORNO",servico
012519,"INSTALAÇÃO DOS 04 EQUIPAMENTOS PISO TETO 4 hp E STARTUP DO SISTEMA",servico
010732,"INSTALAÇÃO DOS EQUIPAMENTOS E STARTUP",servico
012509,"INSTALAÇÃO E CORREÇÃO DE 06 DIFUSORES NOVOS",servico
010187,"INSTALAÇÃO E MONTAGEM DE LUMINOSOS",servico
007157,"INSTALAÇÃO E START UP DO SISTEMA",servico
012256,"Instalação GOEVO ZAP:",servico
008907,"INSTALAÇÃO PAREDE PLACA CIMENTICIA PARA PROTEÇÃO DAS MAQUINAS DE AR-CONDICIONADO",servico
012055,"INSTALAÇÃO SPLITS",servico
008743,"INSTALAÇÃO/DESINSTALAÇÃO DO GERADOR E QTA",servico
008724,"LAUDO TECNICO DOS ELEVADORES",servico
006030,"LOCAÇÃO DE ANDAIME",servico
